fact_check_id,fact_check_page_url,fact_check_page_timestamp_fetch,fact_check_page_status_code,fact_check_page_encoding,fact_check_page_content_type,fact_check_page_error_message
nhs-staff-pay-rise-test-and-trace,https://www.fullfact.org/health/nhs-staff-pay-rise-test-and-trace/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
house-building-levels-PMQs,https://www.fullfact.org/economy/house-building-levels-PMQs/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
video-Alexa-predicts-WWIII-fake,https://www.fullfact.org/online/video-Alexa-predicts-WWIII-fake/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
france-riots-community-note-building-collapse,https://www.fullfact.org/online/france-riots-community-note-building-collapse/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
World-Cup-ball-investigated-remote-control,https://www.fullfact.org/online/World-Cup-ball-investigated-remote-control/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
angela-rayner-buy-to-let,https://www.fullfact.org/news/angela-rayner-buy-to-let/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
HIV-AIDS-smallpox-covid-fauci-patient-zero,https://www.fullfact.org/health/HIV-AIDS-smallpox-covid-fauci-patient-zero/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
missing-girl-false-US-photo,https://www.fullfact.org/online/missing-girl-false-US-photo/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
tax-revenue-Brexit,https://www.fullfact.org/economy/tax-revenue-Brexit/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
maria-caulfield-nhs-waiting-times,https://www.fullfact.org/health/maria-caulfield-nhs-waiting-times/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
nhs-workforce-leavers-work-life-balance,https://www.fullfact.org/health/nhs-workforce-leavers-work-life-balance/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
chris-philp-asylum-seekers,https://www.fullfact.org/immigration/chris-philp-asylum-seekers/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
Google-Meet-cameras-on-satire-account,https://www.fullfact.org/online/Google-Meet-cameras-on-satire-account/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
missing-boy-facebook-hoax-philippines,https://www.fullfact.org/online/missing-boy-facebook-hoax-philippines/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
nandos-new-world-order-cash,https://www.fullfact.org/online/nandos-new-world-order-cash/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
AI-macron-picture-france-riots,https://www.fullfact.org/online/AI-macron-picture-france-riots/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
france-fake-press-release-internet-banned,https://www.fullfact.org/online/france-fake-press-release-internet-banned/,2023-07-16 16:47:29,200,utf-8,text/html; charset=utf-8,
ian-mearns-pupil-absence,https://www.fullfact.org/education/ian-mearns-pupil-absence/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
fake-Argos-playstation-consoles-offer,https://www.fullfact.org/online/fake-Argos-playstation-consoles-offer/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
FDA-nasal-weight-loss-liver,https://www.fullfact.org/health/FDA-nasal-weight-loss-liver/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
france-riot-picture-refugee-banner-2016,https://www.fullfact.org/online/france-riot-picture-refugee-banner-2016/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
sunscreen-cancer-hormones-endocrine-disruption,https://www.fullfact.org/health/sunscreen-cancer-hormones-endocrine-disruption/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
marseille-library-fire-video,https://www.fullfact.org/online/marseille-library-fire-video/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
Arc-de-Triomphe-gilets-jaunes,https://www.fullfact.org/online/Arc-de-Triomphe-gilets-jaunes/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
foreign-office-France-travel-warning,https://www.fullfact.org/online/foreign-office-France-travel-warning/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
priest-islamic-race-riot-saint-etienne,https://www.fullfact.org/online/priest-islamic-race-riot-saint-etienne/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
fake-Guardian-article-looting-France,https://www.fullfact.org/online/fake-Guardian-article-looting-France/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
grapefruit-blood-pressure-hypertension-doctors,https://www.fullfact.org/health/grapefruit-blood-pressure-hypertension-doctors/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
bill-gates-mosquitoes-malaria,https://www.fullfact.org/online/bill-gates-mosquitoes-malaria/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
France-riots-false-Euro-final-2016,https://www.fullfact.org/online/France-riots-false-Euro-final-2016/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
diane-abbott-amanda-pritchard-pay,https://www.fullfact.org/health/diane-abbott-amanda-pritchard-pay/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
Scotland-does-house-refugees,https://www.fullfact.org/immigration/Scotland-does-house-refugees/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
zebra-lion-street-paris-zoo-riots,https://www.fullfact.org/online/zebra-lion-street-paris-zoo-riots/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
france-riots-fire-video-internet-shut-off,https://www.fullfact.org/online/france-riots-fire-video-internet-shut-off/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
list-2010-claims,https://www.fullfact.org/online/list-2010-claims/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
missing-girl-sofia-hoax-appeal,https://www.fullfact.org/online/missing-girl-sofia-hoax-appeal/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
online-driving-in-flipflops-penalties,https://www.fullfact.org/online/online-driving-in-flipflops-penalties/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
covid-19-boris-johnson-hospital-dorset-eye,https://www.fullfact.org/health/covid-19-boris-johnson-hospital-dorset-eye/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
labour-2900-mortgage-penalty,https://www.fullfact.org/economy/labour-2900-mortgage-penalty/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
digital-ID-Oxford-15-minute-cities-false,https://www.fullfact.org/online/digital-ID-Oxford-15-minute-cities-false/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
facebook-video-charts-vaccine-covid,https://www.fullfact.org/health/facebook-video-charts-vaccine-covid/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
world-economic-forum-cashless-15-minute-central-bank,https://www.fullfact.org/online/world-economic-forum-cashless-15-minute-central-bank/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
will-quince-cdc-waiting-lists,https://www.fullfact.org/health/will-quince-cdc-waiting-lists/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
missing-man-simon-hendricks-silver-alert,https://www.fullfact.org/online/missing-man-simon-hendricks-silver-alert/,2023-07-16 16:47:30,200,utf-8,text/html; charset=utf-8,
mirror-cardiovascular-excess-deaths-bhf,https://www.fullfact.org/health/mirror-cardiovascular-excess-deaths-bhf/,2023-07-16 16:47:31,200,utf-8,text/html; charset=utf-8,
greta-thunberg-prediction,https://www.fullfact.org/online/greta-thunberg-prediction/,2023-07-16 16:47:31,200,utf-8,text/html; charset=utf-8,
Shahzada-Dawood-WEF-vice-chairman,https://www.fullfact.org/online/Shahzada-Dawood-WEF-vice-chairman/,2023-07-16 16:47:31,200,utf-8,text/html; charset=utf-8,
