page_index,fact_check_id,fact_check_explanation_title,fact_check_explanation_summary,fact_check_image_url_thumbnail,fact_check_date,fact_check_page_url
220,boris-johnson-first-speech-prime-minister,Boris Johnson's first speech as Prime Minister: factchecked,"On 25 July Boris Johnson made his first speech as Prime Minister of the United Kingdom. We factchecked claims on no deal Brexit, the number of EU nationals living in …",https://www.fullfact.org/media/_versions/borisoutside10_homepage_article.jpg,2019-07-25,https://www.fullfact.org/news/boris-johnson-first-speech-prime-minister/
220,fishermens-mesh-eu-parliament-speech,There’s no solid evidence to support this Brexit Party MEP’s claim about fishermen’s nets,Ann Widdecombe made a claim about fishing regulation during her maiden speech at the EU parliament saying they’d reduced income by 40%.,https://www.fullfact.org/media/_versions/kj81bt_homepage_article.jpg,2019-07-25,https://www.fullfact.org/europe/fishermens-mesh-eu-parliament-speech/
220,Tommy-Robinson-Image,These claims about radical Muslim preachers and Tommy Robinson are mostly incorrect,"Anjem Choudary, Abu Qatada and Abu Hamza all received judicial action for their crimes.",https://www.fullfact.org/media/_versions/r7exp4_homepage_article.jpg,2019-07-25,https://www.fullfact.org/online/Tommy-Robinson-Image/
220,guardian-boris-johnson-quiz,This Guardian quiz on Boris Johnson is meaningless,"A recent Guardian quiz on Boris Johnson attracted over 70,000 responses. The respondents were not representative of Guardian readers or the public.",https://www.fullfact.org/media/_versions/w428r5-edit_homepage_article.jpg,2019-07-25,https://www.fullfact.org/news/guardian-boris-johnson-quiz/
220,5g-sign-not-official,Mobile phone base stations like this do not pose a radiation risk,"The most powerful antennas have exclusion zones around them, but the mast in this viral post isn’t one of them.",https://www.fullfact.org/media/_versions/krcfxt_homepage_article.jpg,2019-07-25,https://www.fullfact.org/online/5g-sign-not-official/
220,eu-divorce-bill,"The EU ""divorce bill""",The latest estimate for the size of the UK’s ‘divorce bill’ with the EU is £33 billion.,https://www.fullfact.org/media/_versions/bc20g5_brexit_bill_featured_image_homepage_article.jpg,2019-07-25,https://www.fullfact.org/europe/eu-divorce-bill/
220,people-dementia-sell-homes-pay-care,How many people with dementia have to sell their homes to pay for care?,A poll found that 16% of respondents who said they had friends or family with dementia also said that person had to sell their home to pay for care.,https://www.fullfact.org/media/_versions/homes-for-sale-24072019_homepage_article.jpg,2019-07-24,https://www.fullfact.org/health/people-dementia-sell-homes-pay-care/
220,record-amount-private-providers-NHS,Was a record amount spent on private providers by the Department of Health?,"£9.2 billion was spent on purchasing health care from private providers in 2018/19—a record amount in cash terms, but not in real terms or as a proportion of the department’s …",https://www.fullfact.org/media/_versions/spending-on-private-providers-24072019_homepage_article.jpg,2019-07-24,https://www.fullfact.org/health/record-amount-private-providers-NHS/
220,dogs-hot-ice,It is generally fine to give your dog small amounts of ice,"In most situations, it is fine to give your dogs ice or frozen treats.",https://www.fullfact.org/media/_versions/hye27c_homepage_article.jpg,2019-07-24,https://www.fullfact.org/online/dogs-hot-ice/
220,advert-tube-was-not-made-conservatives,This advert on the tube was not made by the Conservatives,"Political adverts aren’t allowed on the London Underground, and the advert is fake.",https://www.fullfact.org/media/_versions/d60dfm_homepage_article.jpg,2019-07-22,https://www.fullfact.org/online/advert-tube-was-not-made-conservatives/
220,boris-johnsons-kipper-claim-red-herring,Boris Johnson’s kipper claim is a red herring,Boris Johnson claimed that EU regulation required kipper sellers to pack kippers in ice. This is not an EU regulation – it is UK regulation.,https://www.fullfact.org/media/_versions/isle-of-man-kippers-18072019_homepage_article.jpg,2019-07-18,https://www.fullfact.org/europe/boris-johnsons-kipper-claim-red-herring/
220,brexit-economic-boost-heavily-questioned,Old claim about Brexit economic boost resurfaces,A claim that a new analysis shows the UK will be £135 billion richer after Brexit is based on an old report from Economists for Free Trade. Most other economists …,https://www.fullfact.org/media/_versions/econs-for-ft_homepage_article.jpg,2019-07-18,https://www.fullfact.org/europe/brexit-economic-boost-heavily-questioned/
